#;index;tconst;titleType;originalTitle;isAdult;startYear;runtimeMinutes;averageRating;numVotes;ordering;region;language;types;attributes;isOriginalTitle;main_genre;secondary_genre
5686;7375;tt8685324;tvSeries;Sanditon;0;2019;60;7.7;16512;30;IN;en;imdbDisplay;\N;0;Drama;Romance
5687;7376;tt8686106;tvMiniSeries;Quicksand;0;2019;45;7.4;23558;19;IN;en;imdbDisplay;\N;0;Crime;Drama
5688;7377;tt8688634;movie;21 Bridges;0;2019;99;6.6;70618;54;IN;en;imdbDisplay;\N;0;Action;Crime
5689;7378;tt8688814;tvSeries;The Dragon Prince;0;2018;26;8.3;25242;41;IN;en;imdbDisplay;\N;0;Action;Adventure
5690;7379;tt8690518;tvSeries;The Baby-Sitters Club;0;2020;\N;7.5;4444;12;IN;en;imdbDisplay;\N;0;Adventure;Comedy
5691;7380;tt8690728;tvSeries;Goblin Slayer;0;2018;30;7.5;8856;3;IN;en;imdbDisplay;\N;0;Action;Adventure
5692;7381;tt8690776;tvSeries;Sky Rojo;0;2021;31;6.6;10578;35;IN;en;imdbDisplay;\N;0;Action;Adventure
5693;7382;tt8690890;tvSeries;Meteor Garden;0;2018;45;7.9;4678;5;IN;en;imdbDisplay;\N;0;Drama;Romance
5694;7383;tt8690918;tvSeries;Resident Alien;0;2021;44;8.1;43257;26;IN;en;imdbDisplay;\N;0;Comedy;Drama
5695;7384;tt8693266;tvSeries;Toy Boy;0;2019;\N;6.5;8121;5;IN;en;imdbDisplay;\N;0;Action;Adventure
5696;7385;tt8694364;tvMiniSeries;Years and Years;0;2019;60;8.3;31530;16;IN;en;imdbDisplay;\N;0;Drama;Sci-Fi
5697;7386;tt8697870;tvSeries;The Nevers;0;2021;58;7.4;26241;16;IN;en;imdbDisplay;\N;0;Action;Drama
5698;7387;tt8708280;tvSeries;State of the Union;0;2019;10;7.7;6126;26;IN;en;imdbDisplay;\N;0;Comedy;Drama
5699;7388;tt8714904;tvSeries;Narcos: M̩xico;0;2018;50;8.4;88415;32;IN;en;imdbDisplay;\N;0;Crime;Drama
5700;7389;tt8717446;movie;Blackbird;0;2019;97;6.6;5347;33;IN;en;imdbDisplay;\N;0;Drama;No tiene
5701;7390;tt8721424;movie;tick, tick...BOOM!;0;2021;120;7.5;112636;25;IN;en;imdbDisplay;\N;0;Biography;Comedy
5702;7391;tt8721556;movie;Jallikattu;0;2019;95;7.3;8709;3;IN;en;imdbDisplay;\N;0;Action;Crime
5703;7392;tt8722888;tvSeries;Stargirl;0;2020;566;7.2;19715;12;IN;en;imdbDisplay;\N;0;Action;Adventure
5704;7393;tt8727582;movie;Circus of Books;0;2019;92;7.1;4855;17;IN;en;imdbDisplay;\N;0;Biography;Documentary
5705;7394;tt8733898;movie;U-Turn;0;2018;128;6.9;4020;10;IN;en;imdbDisplay;\N;0;Crime;Horror
5706;7395;tt8737152;movie;Toma;0;2021;140;8.7;11539;3;IN;en;imdbDisplay;\N;0;Biography;Drama
5707;7396;tt8737608;movie;Rams;0;2020;118;6.5;3283;17;IN;en;imdbDisplay;\N;0;Comedy;Drama
5708;7397;tt8737614;movie;Majili;0;2019;154;7.2;4920;4;IN;en;imdbDisplay;\N;0;Drama;Romance
5709;7398;tt8740790;tvSeries;Bridgerton;0;2020;60;7.4;152462;42;IN;en;imdbDisplay;\N;0;Drama;History
5710;7399;tt8740976;tvMiniSeries;Inventing Anna;0;2022;65;6.8;73415;37;IN;en;imdbDisplay;\N;0;Drama;No tiene
5711;7400;tt8741290;tvSeries;Tales from the Loop;0;2020;50;7.4;21071;22;IN;en;imdbDisplay;\N;0;Drama;Sci-Fi
5712;7401;tt8745676;movie;The Swimmers;0;2022;134;7.4;31021;30;IN;en;imdbDisplay;\N;0;Biography;Drama
5713;7402;tt8746478;tvMiniSeries;Fosse/Verdon;0;2019;402;7.9;6874;21;IN;en;imdbDisplay;\N;0;Biography;Drama
5714;7403;tt8747450;movie;Chaman Bahaar;0;2020;111;6.9;10779;5;IN;en;imdbDisplay;\N;0;Comedy;Drama
5715;7405;tt8750956;tvSeries;Aseudal Yeondaegi;0;2019;80;8.3;4996;30;IN;en;imdbDisplay;\N;0;Action;Drama
5716;7406;tt8755226;tvSeries;Daybreak;0;2019;60;6.7;21962;2;IN;en;imdbDisplay;\N;0;Action;Adventure
5717;7408;tt8760932;tvSeries;Nine Perfect Strangers;0;2021;388;7.0;55074;31;IN;en;imdbDisplay;\N;0;Drama;Mystery
5718;7409;tt8762206;tvSeries;Creepshow;0;2019;44;7.0;7967;3;IN;en;imdbDisplay;\N;0;Fantasy;Horror
5719;7411;tt8772296;tvSeries;Euphoria;0;2019;55;8.3;210373;39;IN;en;imdbDisplay;\N;0;Drama;No tiene
