#;index;tconst;titleType;originalTitle;isAdult;startYear;runtimeMinutes;averageRating;numVotes;ordering;region;language;types;attributes;isOriginalTitle;main_genre;secondary_genre
1;1;tt0103064;movie;Terminator 2: Judgment Day;0;1991;137;8.6;1128166;17;US;en;dvd;\N;0;Action;Sci-Fi
10;17;tt0231050;tvSeries;ToransufÃ´mÃ¢: KÃ¢robotto;0;2000;22;6.6;577;16;US;en;alternative;\N;0;Action;Adventure
13;23;tt0253474;movie;The Pianist;0;2002;150;8.5;860569;7;US;en;imdbDisplay;\N;0;Biography;Drama
21;55;tt0369339;movie;Collateral;0;2004;120;7.5;417391;6;US;en;imdbDisplay;\N;0;Action;Crime
28;87;tt0439547;movie;2 Filhos de Francisco: A HistÃ³ria de ZezÃ© di Camargo & Luciano;0;2005;132;6.9;5946;5;US;en;imdbDisplay;\N;0;Biography;Drama
42;127;tt0790636;movie;Dallas Buyers Club;0;2013;117;7.9;502242;3;US;en;working;\N;0;Biography;Drama
64;227;tt10687506;movie;The Electrical Life of Louis Wain;0;2021;111;68;17455;37;US;en;imdbDisplay;\N;0;Biography;Drama
67;244;tt10925770;movie;Himeul naeyo, Miseuteo Lee;0;2019;111;6.9;487;3;US;en;imdbDisplay;\N;0;Comedy;Drama
70;249;tt10954984;movie;Nope;0;2022;130;6.8;234283;43;US;en;imdbDisplay;\N;0;Horror;Mystery
74;265;tt11247158;tvSeries;The Legend of Vox Machina;0;2022;30;8.4;35526;12;US;en;working;\N;0;Action;Adventure
80;277;tt11681282;movie;Le bal des folles;0;2021;122;6.6;3732;12;US;en;imdbDisplay;\N;0;Drama;Thriller
85;293;tt1222816;movie;Pollen;0;2011;81;7.3;676;6;US;en;imdbDisplay;\N;0;Documentary;Family
88;299;tt12443930;MOVIE;Les choses qu'on dit, les choses qu'on fait;0;2020;122;6.9;2689;39;US;en;imdbDisplay;\N;0;Comedy;Drama
90;305;tt1270798;movie;X: First Class;0;2011;131;7.7;706738;43;US;en;imdbDisplay;\N;0;Action;Sci-Fi
94;314;tt1300854;movie;Iron Man Three;0;2013;130;7.1;872400;24;US;en;imdbDisplay;\N;0;Action;Adventure
98;322;tt1337047;movie;Angels in Exile;0;2016;78;7.0;51;2;US;en;working;\N;0;Documentary;No tiene
106;350;tt14033416;movie;Rengeteg - Mindenhol lÃ¡tlak;0;2021;112;6.7;378;1;US;en;imdbDisplay;\N;0;Drama;No tiene
107;352;tt1411245;movie;Kwanini;0;2011;102;8.9;25;4;US;en;imdbDisplay;\N;0;Documentary;No tiene
115;365;tt1442188;tvMiniSeries;Wildes Russland;0;2008;360;8.3;639;9;US;en;imdbDisplay;\N;0;Documentary;No tiene
123;390;tt1478839;movie;The Art of Racing in the Rain;0;2019;109;7.5;34530;35;US;en;imdbDisplay;\N;0;Comedy;Drama
125;395;tt1483324;movie;At Middleton;0;2013;99;6.5;8867;16;US;en;working;\N;0;Comedy;Romance
145;438;tt1650062;movie;Super 8;0;2011;112;7.0;361538;52;US;en;dvd;\N;0;Action;Mystery
148;443;tt1699720;movie;Women Art Revolution;0;2010;83;6.8;252;5;US;en;imdbDisplay;\N;0;Documentary;No tiene
150;452;tt1745718;movie;Holbrook/Twain: An American Odyssey;0;2014;93;8.9;44;2;US;en;working;\N;0;Biography;Documentary
151;453;tt1759660;movie;G.W.B.;0;2011;90;6.6;109;2;US;en;imdbDisplay;\N;0;Drama;No tiene
163;475;tt1876277;MOVIE;Into the White;0;2012;104;7.1;21902;13;US;en;imdbDisplay;\N;0;Action;Biography
171;489;tt1934172;movie;Heroes of Dirt;0;2015;98;7.1;116;1;US;en;working;\N;0;Action;Drama
172;491;tt1950186;movie;Ford v Ferrari;0;2019;152;8.1;423492;17;US;en;imdbDisplay;\N;0;Action;Biography
173;492;tt1951181;movie;The Immigrant;0;2013;120;6.6;32935;25;US;en;working;\N;0;Drama;Romance
175;495;tt1967651;movie;Unconditional;0;2012;92;6.6;755;5;US;en;imdbDisplay;\N;0;Drama;Thriller
180;512;tt2106476;movie;Jagten;0;2012;115;8.3;343367;36;US;en;imdbDisplay;\N;0;Drama;No tiene
189;537;tt2262275;movie;The One Who Loves You;0;2013;95;8.1;60;3;US;en;working;\N;0;Comedy;Drama
190;539;tt2277296;tvSeries;Guntucky;0;2013;60;6.7;17;4;US;en;working;\N;0;Reality-TV;No tiene
191;542;tt2328387;tvSeries;Washington Heights;0;2013;60;6.6;88;3;US;en;working;\N;0;Reality-TV;No tiene
195;551;tt2392672;movie;RÃ©alitÃ©;0;2014;95;6.9;6410;6;US;en;festival;\N;0;Comedy;No tiene
197;556;tt2401814;movie;The Loneliest Whale: The Search for 52;0;2021;96;6.5;452;2;US;en;working;\N;0;Adventure;Documentary
199;558;tt2412748;movie;Saving Mes Aynak;0;2014;60;9.0;1038;2;US;en;working;\N;0;Documentary;No tiene
203;569;tt2564156;movie;In God We Trust;0;2013;82;7.6;32;4;US;en;working;\N;0;Documentary;No tiene
205;573;tt2645000;movie;The Sarnos: A Life in Dirty Movies;0;2013;100;6.6;513;6;US;en;imdbDisplay;\N;0;Biography;Documentary
208;577;tt2690226;movie;The Chaperone;0;2018;108;6.6;1784;12;US;en;imdbDisplay;\N;0;Drama;No tiene
209;579;tt2713778;movie;Cathedrals of Culture;0;2014;165;6.9;278;9;US;en;festival;\N;0;Documentary;No tiene
212;583;tt2802008;tvSeries;Once Upon a Time in Wonderland;0;2013;42;6.9;12649;15;US;en;working;\N;0;Adventure;Drama
214;589;tt2935516;movie;Money;0;2017;90;6.5;445;10;US;en;working;\N;0;Thriller;No tiene
215;590;tt2948372;movie;Soul;0;2020;100;8.0;348650;51;US;en;imdbDisplay;\N;0;Adventure;Animation
218;596;tt3080844;movie;Crocodile Gennadiy;0;2015;96;7.5;514;7;US;en;working;\N;0;Biography;Documentary
226;613;tt3463250;movie;A Despedida;0;2014;90;7.3;129;1;US;en;imdbDisplay;\N;0;Drama;No tiene
228;616;tt3513500;movie;Chip 'n Dale: Rescue Rangers;0;2022;97;7.0;44062;46;US;en;imdbDisplay;\N;0;Action;Adventure
229;618;tt3561180;tvSeries;ÃfÃ¦rÃ°;0;2015;60;8.0;23575;13;US;en;imdbDisplay;\N;0;Crime;Drama
232;623;tt3682448;movie;Bridge of Spies;0;2015;142;7.6;319346;11;US;en;working;\N;0;Drama;History
236;631;tt3829920;movie;Only the Brave;0;2017;134;7.6;73502;25;US;en;working;\N;0;Action;Biography
239;636;tt3909224;tvSeries;Nanatsu no taizai;0;2014;24;7.8;34929;38;US;en;imdbDisplay;\N;0;Action;Adventure
242;643;tt4121306;movie;Lac Gioi;0;2014;93;68;75;4;US;en;alternative;\N;0;Action;Drama
248;651;tt4263482;movie;The VVitch: A New-England Folktale;0;2015;92;7.0;278711;2;US;en;imdbDisplay;\N;0;Drama;Fantasy
250;654;tt4337894;tvMiniSeries;You, Me and the Apocalypse;0;2015;30;7.6;7802;8;US;en;working;\N;0;Comedy;Drama
253;658;tt4460792;movie;Calm with Horses;0;2019;100;6.8;6378;14;US;en;alternative;\N;0;Crime;Drama
255;664;tt4575576;movie;Christopher Robin;0;2018;104;7.2;81198;33;US;en;imdbDisplay;\N;0;Adventure;Comedy
257;667;tt4633694;movie;Spider-Man: Into the Spider-Verse;0;2018;117;8.4;601056;34;US;en;imdbDisplay;\N;0;Action;Adventure
259;669;tt4642192;movie;Trautmann;0;2018;120;7.2;6035;3;US;en;imdbDisplay;\N;0;Biography;Drama
260;674;tt4717402;movie;Mutafukaz;0;2017;94;6.7;4884;23;US;en;imdbDisplay;\N;0;Action;Animation
263;680;tt4912910;movie;Mission: Impossible - Fallout;0;2018;147;7.7;347314;28;US;en;alternative;\N;0;Action;Adventure
264;681;tt4935462;movie;Amazing Grace;0;2018;89;7.5;4919;4;US;en;imdbDisplay;\N;0;Documentary;Music
266;684;tt5013056;MOVIE;Dunkirk;0;2017;106;7.8;686165;19;US;en;imdbDisplay;\N;0;Action;Drama
267;685;tt5021208;movie;Hands of God;0;2020;75;8.3;10;3;US;en;imdbDisplay;\N;0;Sport;War
269;687;tt5057054;tvSeries;Jack Ryan;0;2018;60;8.0;151816;43;US;en;imdbDisplay;\N;0;Action;Drama
277;715;tt5882982;movie;22-nenme no kokuhaku: Watashi ga satsujinhan desu;0;2017;118;6.8;2157;14;US;en;alternative;\N;0;Action;Crime
281;722;tt6067752;movie;Lucifer;0;2019;175;7.5;11862;7;US;en;imdbDisplay;\N;0;Action;Crime
282;727;tt6133484;movie;Raakshas;0;2018;115;7.4;53;3;US;en;alternative;\N;0;Adventure;Drama
285;733;tt6330246;movie;L'Ã©cole buissonniÃ¨re;0;2017;116;6.9;1772;9;US;en;imdbDisplay;\N;0;Comedy;Drama
286;734;tt6428150;movie;Free Dance;0;2016;103;68;2138;2;US;en;imdbDisplay;\N;0;Music;Romance
289;738;tt6484074;tvMiniSeries;Legacy: The True Story of the LA Lakers;0;2022;60;8.3;1264;25;US;en;imdbDisplay;\N;0;Documentary;History
290;740;tt6514010;movie;Brij Mohan Amar Rahe;0;2017;105;6.6;3864;9;US;en;imdbDisplay;\N;0;Comedy;Crime
291;743;tt6705860;movie;Diane;0;2018;95;6.7;1607;6;US;en;imdbDisplay;\N;0;Drama;No tiene
297;753;tt6854966;movie;PequeÃ±os HÃ©roes;0;2017;76;7.7;20;5;US;en;imdbDisplay;\N;0;Animation;No tiene
301;764;tt7019942;movie;Super Deluxe;0;2019;176;8.3;16278;13;US;en;imdbDisplay;\N;0;Comedy;Crime
302;768;tt7161312;tvSeries;Informer;0;2018;60;7.8;6199;13;US;en;imdbDisplay;\N;0;Crime;Drama
304;773;tt7279188;movie;Kona fer Ã­ strÃ­Ã°;0;2018;101;7.4;10767;25;US;en;imdbDisplay;\N;0;Adventure;Comedy
305;774;tt7297960;movie;Fen bei ren sheng;0;2017;91;6.6;300;4;US;en;imdbDisplay;\N;0;Drama;No tiene
306;775;tt7298400;movie;Jiang hu er nÃ¼;0;2018;136;7.0;10057;34;US;en;imdbDisplay;\N;0;Crime;Drama
308;778;tt7406320;tvSeries;History of Horror;0;2018;42;8.1;2428;18;US;en;imdbDisplay;\N;0;Documentary;Horror
309;780;tt7468056;movie;Beomjoidosi;0;2017;121;7.2;10207;20;US;en;imdbDisplay;\N;0;Action;Crime
316;796;tt7967412;movie;Quien a hierro mata;0;2019;107;6.6;8325;4;US;en;imdbDisplay;\N;0;Drama;Thriller
319;799;tt8076344;movie;Pengin haiwei;0;2018;117;7.1;3464;11;US;en;imdbDisplay;\N;0;Adventure;Animation
320;800;tt8080302;movie;Penguins;0;2019;76;7.1;1777;2;US;en;imdbDisplay;\N;0;Documentary;Family
323;803;tt8106552;tvMiniSeries;The Fourth Estate;0;2018;243;7.6;801;5;US;en;imdbDisplay;\N;0;Documentary;History
327;807;tt8193790;movie;Le daim;0;2019;77;6.6;10764;12;US;en;imdbDisplay;\N;0;Comedy;Horror
329;810;tt8344332;tvMiniSeries;Story of Science Fiction;0;2018;60;7.9;1368;5;US;en;imdbDisplay;\N;0;Documentary;Sci-Fi
331;812;tt8354112;movie;Mosul;0;2019;86;7.6;7362;11;US;en;imdbDisplay;\N;0;Documentary;War
332;813;tt8403168;movie;Hesburgh;0;2018;106;8.0;125;2;US;en;imdbDisplay;\N;0;Documentary;No tiene
333;814;tt8431322;tvSeries;Maradona: SueÃ±o bendito;0;2021;614;7.1;2120;23;US;en;imdbDisplay;\N;0;Biography;Documentary
335;818;tt8488126;movie;The Inventor: Out for Blood in Silicon Valley;0;2019;119;7.2;14345;9;US;en;working;\N;0;Crime;Documentary
336;821;tt8550208;movie;Romeo Akbar Walter;0;2019;141;6.6;6074;3;US;en;imdbDisplay;\N;0;Action;Drama
341;831;tt8948790;movie;Jersey;0;2019;157;8.5;20070;12;US;en;imdbDisplay;\N;0;Drama;Sport
346;837;tt9165332;movie;Chitralahari;0;2019;131;7.1;2483;6;US;en;imdbDisplay;\N;0;Comedy;Drama
357;856;tt0096657;tvSeries;Mr. Bean;0;1990;25;8.6;126053;2;IN;en;imdbDisplay;\N;0;Comedy;Family
358;858;tt0098769;tvMiniSeries;The Civil War;0;1990;680;9.1;17372;29;IN;en;imdbDisplay;\N;0;Documentary;History
359;859;tt0098800;tvSeries;The Fresh Prince of Bel-Air;0;1990;22;7.9;139767;8;IN;en;imdbDisplay;\N;0;Comedy;No tiene
360;860;tt0098825;tvMiniSeries;House of Cards;0;1990;226;8.5;14747;7;IN;en;imdbDisplay;\N;0;Drama;No tiene
361;861;tt0098936;tvSeries;Twin Peaks;0;1990;47;8.8;205176;11;IN;en;imdbDisplay;\N;0;Crime;Drama
362;862;tt0099043;movie;Anjali;0;1990;150;8.2;3103;1;IN;en;imdbDisplay;\N;0;Drama;No tiene
363;863;tt0099348;movie;Dances with Wolves;0;1990;181;8.0;277896;55;IN;en;imdbDisplay;\N;0;Adventure;Drama
364;864;tt0099487;movie;Edward Scissorhands;0;1990;105;7.9;504714;60;IN;en;imdbDisplay;\N;0;Drama;Fantasy
365;865;tt0099685;movie;GoodFellas;0;1990;145;8.7;1197758;68;IN;en;imdbDisplay;\N;0;Biography;Crime
366;866;tt0100234;movie;Nema-ye Nazdik;0;1990;98;8.2;21372;6;IN;en;imdbDisplay;\N;0;Biography;Crime
367;867;tt0101279;movie;Agantuk;0;1991;120;8.0;4188;11;IN;en;imdbDisplay;\N;0;Drama;No tiene
368;868;tt0101414;movie;Beauty and the Beast;0;1991;84;8.0;466172;36;IN;en;imdbDisplay;\N;0;Animation;Family
369;869;tt0101640;movie;Da hong denglong gaogao gua;0;1991;125;8.1;34050;35;IN;en;imdbDisplay;\N;0;Drama;Romance
370;870;tt0101649;movie;Thalapathi;0;1991;157;8.5;12793;6;IN;en;imdbDisplay;\N;0;Action;Crime
371;872;tt0103359;tvSeries;Batman: The Animated Series;0;1992;23;9.0;109376;1;IN;en;imdbDisplay;\N;0;Action;Adventure
372;873;tt0103466;tvSeries;The Larry Sanders Show;0;1992;30;8.5;8955;7;IN;en;imdbDisplay;\N;0;Comedy;No tiene
373;875;tt0103639;movie;Aladdin;0;1992;90;8.0;440161;7;IN;en;imdbDisplay;\N;0;Adventure;Animation
374;876;tt0104561;movie;Jo Jeeta Wohi Sikandar;0;1992;174;8.2;23797;2;IN;en;imdbDisplay;\N;0;Comedy;Drama
375;877;tt0105236;movie;Reservoir Dogs;0;1992;99;8.3;1046967;58;IN;en;imdbDisplay;\N;0;Crime;Thriller
376;878;tt0105271;movie;Roja;0;1992;137;8.1;13319;6;IN;en;imdbDisplay;\N;0;Drama;Romance
377;880;tt0105575;MOVIE;Thevar Magan;0;1992;145;8.7;7617;5;IN;en;imdbDisplay;\N;0;Drama;No tiene
378;881;tt0105695;movie;Unforgiven;0;1992;130;8.2;422327;30;IN;en;imdbDisplay;\N;0;Drama;Western
379;882;tt0105932;tvSeries;The Adventures of Brisco County, Jr.;0;1993;45;8.3;8922;3;IN;en;imdbDisplay;\N;0;Action;Adventure
380;883;tt0105941;tvSeries;Animaniacs;0;1993;21;7.9;24875;18;IN;en;imdbDisplay;\N;0;Adventure;Animation
381;884;tt0105943;tvSeries;As Time Goes By;0;1992;60;8.3;4687;19;IN;en;imdbDisplay;\N;0;Comedy;Romance
382;885;tt0105946;tvSeries;Babylon 5;0;1993;45;8.4;33117;14;IN;en;imdbDisplay;\N;0;Action;Adventure
383;886;tt0105958;tvSeries;Boy Meets World;0;1993;23;8.1;44762;41;IN;en;imdbDisplay;\N;0;Comedy;Drama
384;887;tt0105977;tvSeries;Cracker;0;1993;100;8.5;7380;12;IN;en;imdbDisplay;\N;0;Crime;Drama
385;888;tt0106004;tvSeries;Frasier;0;1993;22;8.2;88603;40;IN;en;imdbDisplay;\N;0;Comedy;No tiene
386;889;tt0106028;tvSeries;Homicide: Life on the Street;0;1993;60;8.7;13422;22;IN;en;imdbDisplay;\N;0;Crime;Drama
387;890;tt0106115;tvSeries;Rocko's Modern Life;0;1993;30;7.9;21128;1;IN;en;imdbDisplay;\N;0;Animation;Comedy
388;891;tt0106145;tvSeries;Star Trek: Deep Space Nine;0;1993;45;8.1;66948;14;IN;en;imdbDisplay;\N;0;Action;Adventure
389;892;tt0106179;tvSeries;The X Files;0;1993;45;8.6;235586;3;IN;en;imdbDisplay;\N;0;Crime;Drama
390;893;tt0106469;movie;Bound by Honor;0;1993;180;7.9;32811;36;IN;en;imdbDisplay;\N;0;Crime;Drama
391;894;tt0106519;movie;Carlito's Way;0;1993;144;7.9;225123;45;IN;en;imdbDisplay;\N;0;Crime;Drama
392;895;tt0107048;movie;Groundhog Day;0;1993;101;8.0;653789;7;IN;en;imdbDisplay;\N;0;Comedy;Drama
393;896;tt0107207;movie;In the Name of the Father;0;1993;133;8.1;180501;11;IN;en;imdbDisplay;\N;0;Biography;Crime
394;897;tt0107290;movie;Jurassic Park;0;1993;127;8.2;1019693;37;IN;en;imdbDisplay;\N;0;Action;Adventure
395;898;tt0108052;movie;Schindler's List;0;1993;195;9.0;1390651;32;IN;en;imdbDisplay;\N;0;Biography;Drama
396;899;tt0108394;movie;Trois couleurs: Bleu;0;1993;94;7.9;106446;3;IN;en;imdbDisplay;\N;0;Drama;Music
397;900;tt0108399;movie;True Romance;0;1993;119;7.9;234094;33;IN;en;imdbDisplay;\N;0;Crime;Drama
398;901;tt0108757;tvSeries;ER;0;1994;44;7.9;64392;32;IN;en;imdbDisplay;\N;0;Drama;Romance
399;902;tt0108778;tvSeries;Friends;0;1994;22;8.9;1031971;50;IN;en;imdbDisplay;\N;0;Comedy;Romance
400;903;tt0108783;tvSeries;Gargoyles;0;1994;30;8.1;17491;24;IN;en;imdbDisplay;\N;0;Action;Adventure
401;905;tt0108872;tvSeries;My So-Called Life;0;1994;60;8.4;21353;5;IN;en;imdbDisplay;\N;0;Comedy;Drama
402;906;tt0108906;tvSeries;Riget;0;1994;561;8.2;19738;6;IN;en;imdbDisplay;\N;0;Comedy;Drama
403;907;tt0108937;tvSeries;Space Ghost Coast to Coast;0;1993;15;7.9;7489;3;IN;en;imdbDisplay;\N;0;Animation;Comedy
404;908;tt0109117;movie;Andaz Apna Apna;0;1994;160;8.0;54296;8;IN;en;imdbDisplay;\N;0;Action;Comedy
405;909;tt0109424;movie;Chung Hing sam lam;0;1994;102;8.0;88621;46;IN;en;imdbDisplay;\N;0;Comedy;Crime
406;910;tt0109508;movie;Crumb;0;1994;119;8.0;20976;15;IN;en;imdbDisplay;\N;0;Biography;Comedy
407;911;tt0109830;movie;Forrest Gump;0;1994;142;8.8;2146507;54;IN;en;imdbDisplay;\N;0;Drama;Romance
408;912;tt0110057;movie;Hoop Dreams;0;1994;170;8.3;27245;8;IN;en;imdbDisplay;\N;0;Documentary;Drama
409;914;tt0110729;movie;Once Were Warriors;0;1994;102;7.9;35654;2;IN;en;imdbDisplay;\N;0;Crime;Drama
410;915;tt0110882;movie;Pred dozhdot;0;1994;113;7.9;15418;1;IN;en;imdbDisplay;\N;0;Drama;Romance
411;916;tt0111495;movie;Trois couleurs: Rouge;0;1994;99;8.1;106646;30;IN;en;imdbDisplay;\N;0;Drama;Mystery
412;917;tt0111880;tvSeries;American Gothic;0;1995;60;8.1;4703;6;IN;en;imdbDisplay;\N;0;Drama;Horror
413;918;tt0111958;tvSeries;Father Ted;0;1995;25;8.7;42097;20;IN;en;imdbDisplay;\N;0;Comedy;No tiene
414;919;tt0112047;tvSeries;Life with Louie;0;1994;30;8.3;8080;26;IN;en;imdbDisplay;\N;0;Adventure;Animation
415;920;tt0112095;tvSeries;NewsRadio;0;1995;23;8.0;16599;3;IN;en;imdbDisplay;\N;0;Comedy;Romance
416;921;tt0112130;tvMiniSeries;Pride and Prejudice;0;1995;327;8.8;88199;46;IN;en;imdbDisplay;\N;0;Drama;Romance
417;922;tt0112159;tvSeries;Shinseiki Evangelion;0;1995;24;8.5;76572;31;IN;en;imdbDisplay;\N;0;Action;Animation
418;924;tt0112471;movie;Before Sunrise;0;1995;101;8.1;322210;20;IN;en;imdbDisplay;\N;0;Drama;Romance
420;926;tt0112573;movie;Braveheart;0;1995;178;8.3;1058779;63;IN;en;imdbDisplay;\N;0;Biography;Drama
421;927;tt0112641;movie;Casino;0;1995;178;8.2;537387;52;IN;en;imdbDisplay;\N;0;Crime;Drama
422;928;tt0112870;movie;Dilwale Dulhania Le Jayenge;0;1995;189;8.0;73234;4;IN;en;imdbDisplay;\N;0;Drama;Romance
423;929;tt0113247;movie;La haine;0;1995;98;8.1;182583;1;IN;en;imdbDisplay;\N;0;Crime;Drama
424;930;tt0113277;movie;Heat;0;1995;170;8.3;680803;6;IN;en;imdbDisplay;\N;0;Action;Crime
425;931;tt0113568;movie;KÃ´kaku kidÃ´tai;0;1995;83;7.9;149182;45;IN;en;imdbDisplay;\N;0;Action;Animation
426;934;tt0114709;movie;Toy Story;0;1995;81;8.3;1023353;40;IN;en;imdbDisplay;\N;0;Adventure;Animation
427;935;tt0114746;movie;Twelve Monkeys;0;1995;129;8.0;630950;15;IN;en;imdbDisplay;\N;0;Mystery;Sci-Fi
428;936;tt0114787;movie;Underground;0;1995;170;8.1;59744;11;IN;en;imdbDisplay;\N;0;Comedy;Drama
429;939;tt0115147;tvSeries;The Daily Show;0;1996;22;8.3;47688;5;IN;en;imdbDisplay;\N;0;Comedy;News
430;940;tt0115157;tvSeries;Dexter's Laboratory;0;1996;23;7.9;51362;30;IN;en;imdbDisplay;\N;0;Adventure;Animation
431;941;tt0115270;tvSeries;Millennium;0;1996;45;8.0;11709;11;IN;en;imdbDisplay;\N;0;Crime;Drama
432;942;tt0115355;tvSeries;Silent Witness;0;1996;120;7.9;11146;2;IN;en;imdbDisplay;\N;0;Crime;Drama
433;943;tt0115378;tvSeries;Superman: The Animated Series;0;1996;30;8.1;16718;14;IN;en;imdbDisplay;\N;0;Action;Adventure
434;944;tt0116231;movie;Eskiya;0;1996;128;8.1;70992;24;IN;en;imdbDisplay;\N;0;Crime;Drama
435;945;tt0116282;movie;Fargo;0;1996;98;8.1;695096;42;IN;en;imdbDisplay;\N;0;Crime;Thriller
436;946;tt0116630;movie;Indian;0;1996;185;8.1;13217;2;IN;en;imdbDisplay;\N;0;Action;Drama
437;948;tt0117666;movie;Sling Blade;0;1996;135;8.0;96343;13;IN;en;imdbDisplay;\N;0;Drama;No tiene
438;949;tt0117951;movie;Trainspotting;0;1996;93;8.1;703121;58;IN;en;imdbDisplay;\N;0;Drama;No tiene
439;951;tt0118276;tvSeries;Buffy the Vampire Slayer;0;1997;44;8.3;153008;11;IN;en;imdbDisplay;\N;0;Action;Drama
440;952;tt0118298;tvSeries;Daria;0;1997;30;8.1;26264;4;IN;en;imdbDisplay;\N;0;Animation;Comedy
441;953;tt0118363;tvSeries;Jonathan Creek;0;1997;60;8.1;8474;19;IN;en;imdbDisplay;\N;0;Comedy;Crime
442;954;tt0118401;tvSeries;Midsomer Murders;0;1997;90;7.9;36218;3;IN;en;imdbDisplay;\N;0;Crime;Drama
443;955;tt0118421;tvSeries;Oz;0;1997;55;8.7;102778;33;IN;en;imdbDisplay;\N;0;Crime;Drama
444;956;tt0118475;tvSeries;Spawn;0;1997;30;8.1;9440;22;IN;en;imdbDisplay;\N;0;Action;Adventure
445;957;tt0118480;tvSeries;Stargate SG-1;0;1997;44;8.4;97399;18;IN;en;imdbDisplay;\N;0;Action;Adventure
446;959;tt0118715;movie;The Big Lebowski;0;1998;117;8.1;830030;43;IN;en;imdbDisplay;\N;0;Comedy;Crime
447;960;tt0118749;movie;Boogie Nights;0;1997;155;7.9;273498;5;IN;en;imdbDisplay;\N;0;Drama;No tiene
448;961;tt0118751;movie;Border;0;1997;176;7.9;16895;8;IN;en;imdbDisplay;\N;0;Action;Drama
449;962;tt0118799;MOvie;La vita Ã¨ bella;0;1997;116;8.6;713900;11;IN;en;imdbDisplay;\N;0;Comedy;Drama
450;963;tt0118849;movie;Bacheha-Ye aseman;0;1997;89;8.2;77132;8;IN;en;imdbDisplay;\N;0;Drama;Family
451;964;tt0119217;movie;Good Will Hunting;0;1997;126;8.3;1008518;47;IN;en;imdbDisplay;\N;0;Drama;Romance
452;966;tt0119488;movie;L.A. Confidential;0;1997;138;8.2;595118;24;IN;en;imdbDisplay;\N;0;Crime;Drama
453;967;tt0119698;movie;Mononoke-hime;0;1997;134;8.3;408986;26;IN;en;imdbDisplay;\N;0;Action;Adventure
454;968;tt0120363;movie;Toy Story 2;0;1999;92;7.9;598134;55;IN;en;imdbDisplay;\N;0;Adventure;Animation
455;970;tt0120586;movie;American History X;0;1998;119;8.5;1147021;16;IN;en;imdbDisplay;\N;0;Crime;Drama
456;971;tt0120630;movie;Chicken Run;0;2000;84;7.1;200051;22;IN;en;imdbDisplay;\N;0;Adventure;Animation
457;972;tt0120679;movie;Frida;0;2002;123;7.3;92664;5;IN;en;imdbDisplay;\N;0;Biography;Drama
458;973;tt0120681;movie;From Hell;0;2001;122;6.7;159972;18;IN;en;imdbDisplay;\N;0;Horror;Mystery
459;974;tt0120689;movie;The Green Mile;0;1999;189;8.6;1341768;30;IN;en;imdbDisplay;\N;0;Crime;Drama
460;976;tt0120735;movie;Lock, Stock and Two Smoking Barrels;0;1998;107;8.1;597004;47;IN;en;imdbDisplay;\N;0;Action;Comedy
461;977;tt0120737;movie;The Lord of the Rings: The Fellowship of the Ring;0;2001;178;8.8;1923140;76;IN;en;imdbDisplay;\N;0;Action;Adventure
462;978;tt0120804;movie;Resident Evil;0;2002;100;6.6;279494;31;IN;en;imdbDisplay;\N;0;Action;Horror
463;979;tt0120815;movie;Saving Private Ryan;0;1998;169;8.6;1429540;25;IN;en;imdbDisplay;\N;0;Drama;War
464;980;tt0120903;movie;X-Men;0;2000;104;7.3;629230;10;IN;en;imdbDisplay;\N;0;Action;Adventure
465;982;tt0121765;movie;Star Wars: Episode II - Attack of the Clones;0;2002;142;6.6;732151;17;IN;en;imdbDisplay;\N;0;Action;Adventure
466;983;tt0121766;movie;Star Wars: Episode III - Revenge of the Sith;0;2005;140;7.6;814945;65;IN;en;imdbDisplay;\N;0;Action;Adventure
467;984;tt0121955;tvSeries;South Park;0;1997;22;8.7;390292;26;IN;en;imdbDisplay;\N;0;Animation;Comedy
468;985;tt0126029;movie;Shrek;0;2001;90;7.9;702925;15;IN;en;imdbDisplay;\N;0;Adventure;Animation
469;986;tt0126170;tvSeries;Recess;0;1997;23;7.9;26872;40;IN;en;imdbDisplay;\N;0;Adventure;Animation
470;987;tt0126173;tvSeries;SWAT Kats: The Radical Squadron;0;1993;22;8.4;4602;1;IN;en;imdbDisplay;\N;0;Action;Adventure
471;988;tt0129167;movie;The Iron Giant;0;1999;86;8.1;211121;43;IN;en;imdbDisplay;\N;0;Action;Adventure
472;990;tt0133093;movie;The Matrix;0;1999;136;8.7;1966414;61;IN;en;imdbDisplay;\N;0;Action;Sci-Fi
473;991;tt0133240;movie;Treasure Planet;0;2002;95;7.2;125824;4;IN;en;imdbDisplay;\N;0;Adventure;Animation
474;992;tt0133826;movie;Guru;0;1997;136;8.5;3354;3;IN;en;imdbDisplay;\N;0;Drama;Fantasy
475;993;tt0134847;movie;Pitch Black;0;2000;109;7.0;247648;55;IN;en;imdbDisplay;\N;0;Action;Horror
476;994;tt0137523;movie;Fight Club;0;1999;139;8.8;2197234;11;IN;en;imdbDisplay;\N;0;Drama;No tiene
477;995;tt0139654;movie;Training Day;0;2001;122;7.7;452030;58;IN;en;imdbDisplay;\N;0;Action;Crime
478;996;tt0139876;movie;Baasha;0;1995;145;8.3;10900;4;IN;en;imdbDisplay;\N;0;Action;Crime
479;999;tt0141842;tvSeries;The Sopranos;0;1999;55;9.2;428052;38;IN;en;imdbDisplay;\N;0;Crime;Drama
